ITEM,DAY,MONTH,TYPE
DÍA DE LOS NIÑOS,6,1,URUGUAY
DESEMBARCO DE LOS TREINTA Y TRES ORIENTALES,19,4,URUGUAY
DÍA DE TIRADENTES,21,4,BRAZIL
[P] DIA DE LOS TRABAJADORES,1,5,WORLDWIDE
BATALLA DE LAS PIEDRAS,18,5,URUGUAY
NATALICIO DE ARTIGAS,19,6,URUGUAY
[P] DÍA JURA DE LA CONSTITUCIÓN,18,7,URUGUAY
[P] DECLARATORIA DE LA INDEPENDENCIA,25,8,URUGUAY
DÍA DE LA INDEPENDENCIA BRASILEÑA,7,9,BRAZIL
DÍA DE LA RAZA,12,10,BRAZIL
DÍA DE MUERTOS,2,11,BRAZIL
DÍA DEL GOLPE REPUBLICANO,15,11,BRAZIL
DÍA NACIONAL DE LA CONCIENCIA NEGRA,20,11,BRAZIL
[P] NAVIDAD,25,12,WORLDWIDE
[P] AÑO NUEVO,1,1,WORLDWIDE
EID AL FITR,1,10,ISLAMIC
RAMADAN,1,9,ISLAMIC
ASHURA,10,1,ISLAMIC
EID EL ADHA,10,12,ISLAMIC
DIA DO GAÚCHO,20,9,BRAZIL
DIA DOS NAMORADOS,12,6,BRAZIL
DÍA DE LOS ENAMORADOS,14,2,URUGUAY
FERIADO MUNICIPAL DO LIVRAMENTO,30,7,BRAZIL
PROC. REPÚBLICA RIO GRANDENSE,11,9,BRAZIL
